{NUMBER OF COLUMNS}       4
*
* SHOTS  =   24861
* TIMES  =     0.230053 to     0.249813 s
* SMOOTH =      17
* SAMPLE =       5
*
*       PSIn        jsat        jsol          Te
*                (A m-2)       (A ?)        (eV)
{DATA LIST}
    0.900000    2.40E+04   -2.91E+04        5.00  ADDED
    0.954840    2.40E+04   -2.91E+04        8.43
    0.957251    2.85E+04   -2.66E+04        9.07
    0.959750    2.96E+04   -2.06E+04        9.48
    0.961608    3.62E+04   -1.78E+04       10.23
    0.962661    4.28E+04   -2.26E+04       10.81
    0.965294    5.40E+04   -3.06E+04       11.76
    0.967927    6.11E+04   -4.48E+04       11.64
    0.969330    5.96E+04   -5.20E+04       11.51
    0.970549    6.07E+04   -5.35E+04       12.72
    0.973315    5.74E+04   -5.32E+04       12.47
    0.976081    5.52E+04   -5.33E+04       12.70
    0.976932    4.49E+04   -5.15E+04       11.13
    0.978418    4.19E+04   -4.77E+04       11.31
    0.981315    4.37E+04   -4.61E+04       11.88
    0.984212    4.20E+04   -4.66E+04       11.53
    0.984629    3.85E+04   -4.29E+04       11.69
    0.986268    3.83E+04   -4.22E+04       11.25
    0.989294    3.25E+04   -3.89E+04       10.35
    0.991998    3.31E+04   -3.99E+04        9.97
    0.992206    2.70E+04   -4.17E+04        9.28
    0.994098    2.90E+04   -4.45E+04        9.36
    0.997251    2.64E+04   -4.43E+04        9.45
    0.999614    2.87E+04   -4.19E+04       10.38
    0.999940    2.48E+04   -4.06E+04        9.55
    1.001907    2.42E+04   -4.47E+04        9.23
    1.005187    1.98E+04   -4.55E+04        8.15
    1.007154    2.06E+04   -4.72E+04        8.39
    1.007810    1.99E+04   -4.50E+04        9.04
    1.009706    1.93E+04   -4.20E+04        8.67
    1.013110    1.91E+04   -3.73E+04        8.13
    1.014693    1.90E+04   -3.55E+04        8.17
    1.015832    1.89E+04   -3.16E+04        7.68
    1.017476    1.95E+04   -3.19E+04        7.83
    1.021002    1.91E+04   -2.70E+04        7.19
    1.022407    1.94E+04   -2.19E+04        7.08
    1.023764    1.82E+04   -2.07E+04        6.83
    1.025233    1.73E+04   -2.32E+04        6.71
    1.028870    1.52E+04   -2.49E+04        6.39
    1.029949    1.35E+04   -2.46E+04        6.34
    1.031444    1.37E+04   -2.79E+04        6.28
    1.033246    1.36E+04   -6.85E+05        6.70
    1.036427    1.37E+04   -6.87E+05        6.94
    1.037470    1.43E+04   -6.88E+05        6.60
    1.039101    1.27E+04   -2.17E+04        6.49
    1.041235    1.26E+04   -2.03E+04        6.78
    1.043761    1.15E+04   -2.10E+04        6.48
    1.045315    1.12E+04   -2.25E+04        6.29
    1.046868    1.06E+04   -1.49E+05        5.87
    1.049134    1.09E+04   -1.47E+05        6.23
    1.051534    1.17E+04   -1.46E+05        6.35
    1.053133    1.20E+04   -2.18E+04        6.53
    1.055167    1.16E+04   -2.80E+04        5.81
    1.057133    1.09E+04   -2.81E+04        5.41
    1.059281    1.15E+04   -3.23E+04        5.21
    1.060926    1.18E+04   -2.10E+04        5.29
    1.062775    1.19E+04   -2.18E+04        5.45
    1.065040    1.10E+04   -1.86E+05        5.59
    1.066723    1.14E+04   -3.37E+05        6.04
    1.068620    1.10E+04   -3.51E+05        5.83
    1.070384    9.63E+03   -1.80E+05        5.91
    1.072740    9.66E+03   -3.06E+04        5.51
    1.074061    9.55E+03   -1.02E+05        5.02
    1.076128    9.45E+03   -1.05E+05        4.90
    1.078164    9.99E+03   -6.30E+08        4.10
    1.079930    9.43E+03   -6.30E+08        5.03
    1.081465    1.00E+04   -6.30E+08        6.05
    1.083609    9.17E+03   -1.26E+04        5.96
    1.085914    9.51E+03   -1.16E+04        5.32
    1.087693    9.15E+03   -2.64E+04        4.47
    1.089077    9.04E+03   -2.48E+04        5.06
    1.091059    9.03E+03   -4.01E+06        6.17
    1.093633    8.27E+03   -4.01E+06        6.87
    1.095064    8.12E+03   -4.00E+06        7.20
    1.096655    8.04E+03   -1.14E+04        6.16
    1.098520    7.66E+03   -9.65E+03        5.48
    1.101318    8.09E+03   -8.74E+03        5.49
    1.103243    7.73E+03   -1.70E+05        6.60
    1.107058    8.19E+03   -1.71E+05        7.87
    1.110873    7.19E+03   -1.72E+05        7.09
    1.115207    6.98E+03   -8.87E+03        7.66
    1.117470    6.47E+03   -1.09E+04        7.02
    1.120181    6.64E+03   -1.13E+04        6.80
    1.122427    6.90E+03   -1.07E+04        6.68
    1.124161    6.50E+03   -1.03E+04        6.07
    1.125660    6.47E+03   -9.72E+03        5.75
    1.127632    6.28E+03   -9.44E+03        6.08
    1.129662    6.05E+03   -1.06E+04        5.57
    1.131657    5.47E+03   -2.99E+05        4.93
{END}
