* MAST main wall
*
* Where did this data come from..?
*
*  P1_x     P1_y       P2_x     P2_y
*  (m)      (m)        (m)      (m)
   0.195    0.000      0.195    1.080  INNER MIDPLANE
   0.195    1.080      0.280    1.220  
   0.280    1.220      0.280    1.450  
   0.280    1.450      0.280    1.670  
   0.280    1.670      0.175    1.670  
   0.175    1.670      0.175    1.720  
   0.175    1.720      0.190    1.820  
   0.190    1.820      0.190    1.905  
   0.190    1.905      0.330    2.150  
   0.330    2.150      0.330    2.190  
   0.330    2.190      0.535    2.190  
   0.535    2.190      0.535    2.165  
   0.535    2.165      0.755    2.165  
   0.755    2.165      0.755    1.975  OUTER TARGET PLATE - UPPER
   0.755    1.975      0.755    1.826    .
   0.755    1.826      1.110    1.826    .
   1.110    1.826      1.655    1.826    . 
   1.655    1.826      1.655    1.975    .
   1.655    1.975      1.655    2.165    .
   1.655    2.165      2.000    2.165  OUTER TARGET PLATE - UPPER
   2.000    2.165      2.000    0.300  
   2.000    0.300      1.975    0.000  
   1.975    0.000      2.000   -0.300  OUTER MIDPLANE
   2.000   -0.300      2.000   -2.165  
   2.000   -2.165      1.655   -2.165  
   1.655   -2.165      1.655   -1.975  OUTER TARGET PLATE - LOWER
   1.655   -1.975      1.655   -1.826    .
   1.655   -1.826      1.110   -1.826    .
   1.110   -1.826      0.755   -1.826    . 
   0.755   -1.826      0.755   -1.975    .
   0.755   -1.975      0.755   -2.165    .
   0.755   -2.165      0.535   -2.165  OUTER TARGET PLATE - LOWER
   0.535   -2.165      0.535   -2.190  
   0.535   -2.190      0.330   -2.190  
   0.330   -2.190      0.330   -2.150  
   0.330   -2.150      0.190   -1.905  
   0.190   -1.905      0.190   -1.820  
   0.190   -1.820      0.175   -1.720  
   0.175   -1.720      0.175   -1.670  
   0.175   -1.670      0.280   -1.670  
   0.280   -1.670      0.280   -1.450  
   0.280   -1.450      0.280   -1.220  
   0.280   -1.220      0.195   -1.080  
   0.195   -1.080      0.195    0.000  

